Object Type,Object Name,Corresponding Steps,Predecessor,Successor,Input Data,Input Data Assesment,Output Data,Output Data Assesment,Additional Information
Start Event,Start Condition,,N/A,1.0 Identification of need,N/A,,N/A,,
Task,1.0 Identification of need,1_1.0,Start Condition,Mandate Type,N/A,TP,Need Identification Report,TP,
Gateway (Exclusive),Mandate Type,1_1.0,1.0 Identification of need,Draft self-task mandate OR Receive EC mandate,,,,,
Task,Draft self-task mandate,2_2.1,Mandate Type,Conduct pilot and consultation,Need Identification Report,TP,Mandate Document,TP,
Receive Task,Receive EC mandate,2_1.0,Mandate Type,Conduct pilot and consultation,EC Mandate Document,TP,Mandate Document,FP;EC Mandate Document(FN),
Task,Conduct pilot and consultation,2_2.2,Draft self-task mandate; Receive EC mandate,Receive draft guidance,Mandate Document,FP;EC Mandate Document(FN),Draft Guidance,FP;Pilot and Consulation Results(FN),
Receive Task,Receive draft guidance,2_2.4,Conduct pilot and consultation,Adopt guidance,Draft Guidance,TP,,Draft Guidance(FN),
Task,Adopt guidance,2_2.7,Receive draft guidance,Implementation Gateway,Draft Guidance,TP,Adopted Guidance,TP,
Gateway (Parallel),Implementation Gateway,3_3.1,Adopt guidance,Agree implementation plan AND Ensure alignment,,,,,
Task,Agree implementation plan,3_3.1,Implementation Gateway,Implementation Join Gateway,Adopted Guidance,TP,Implementation Plan,TP,
Task,Ensure alignment,3_3.3,Implementation Gateway,Implementation Join Gateway,Adopted Guidance,TP,Alignment Report,TP,
Gateway (Parallel),Implementation Join Gateway,3_3.1,Agree implementation plan AND Ensure alignment,Review guidance,,,,,
Task,Review guidance,4_6.1,Implementation Join Gateway,Review completed,Implementation Plan; Alignment Report,TP;TP,Review Report,TP;TP,
Intermediate Event,Review completed,4_6.1,Review guidance,Prioritise revision,N/A,,N/A,,
Task,Prioritise revision,4_7.1,Review completed,End Condition,Review Report,TP,Revision Plan,TP,
End Event,End Condition,,Prioritise revision,N/A,N/A,,N/A,,
